0	159.0	73.25	18.64184133006132
1	155.0	73.25	17.0
1	179.0	62.25	4.071892788474301
2	159.0	66.25	11.934999751442692
3	158.0	64.25	8.132028437415581
4	147.0	63.25	5.37388716285284
4	159.0	68.25	9.546018968612008
5	150.0	73.25	10.068864879858873
5	159.0	74.25	10.63272131313097
6	162.0	72.25	8.874706343664673
6	179.0	70.25	5.551578417622835
7	161.0	73.25	8.918033832276503
7	175.0	73.25	7.864426459686873
8	161.0	76.25	9.096109718308409
8	175.0	76.25	7.8832950892006215
9	140.0	77.25	7.760471216028682
9	171.0	83.25	12.39331238300309
10	129.0	76.25	6.560592908445458
10	164.0	83.25	14.471559259363183
11	117.0	79.25	7.291297120446412
11	162.0	90.25	19.949285014825463
12	131.0	88.25	18.03684753088685
12	159.0	94.25	30.29045188520363
13	160.0	101.25	36.08815236256712
14	94.0	93.25	6.88132263130202
14	114.0	83.25	10.644545945295313
15	94.0	94.25	4.972139221847344
15	195.75	111.0	29.72250357784336
16	97.0	91.25	5.924843760379312
16	127.0	73.25	4.759300725550594
16	218.75	119.0	22.50061437069716
17	119.0	81.25	8.295918457962983
18	117.0	86.25	16.491588069807595
19	118.0	82.25	14.012058395289893
19	143.0	83.25	24.963976163186125
20	115.0	81.25	8.11323942221693
21	115.0	81.25	6.38982761169787
22	116.0	84.25	8.297095859981626
23	77.25	124.0	8.865196782888226
26	79.25	107.0	3.445210034612736
26	139.0	86.25	9.050186868398972
28	106.0	90.25	3.4238358508698483
